Control Title,PCI DSS v4.0.1,ISO 27001:2022,ISO 27002:2022,SOC 2 (TSP 2017),NIST 800-53 Rev5,CIS Controls v8.1,SCF 2025,NIS2 Article 21,ISO 27701:2025,ISO 45001:2018,ISO 42001:2023,ISO 37001:2025,ISO 9001:2015,OWASP LLM Top 10 2025,NIST AI 600-1 2024,EU AI Act 2024/1689,AESCSF-SP1
User Account Inventory Review,"8.2.1, 8.2.2, 8.2.3, 8.2.4, 8.2.5, 8.2.6, 8.6.1, 8.6.2",—,"5.15, 5.16, 5.18, 8.2","CC6.1, CC6.2, CC6.3","AC-2, IA-4","5.1, 5.3, 5.5, 6.8","IAC-01, IAC-02, IAC-15, IAC-17",Article 21(2) (i),"A.3.1, A.3.2, A.3.3, A.3.4, A.3.5, A.3.6, A.3.7, A.3.8, A.3.9",—,—,—,—,—,—,—,ACM-1A
Privileged Access Rights Review,"7.2.6, 8.2.2, 8.3.1",—,"5.18, 8.18","CC6.1, CC6.3","AC-2, AC-6","5.4, 6.5","IAC-16, IAC-21",Article 21(2) (i),—,—,—,—,—,—,—,—,—
Account Provisioning and Deprovisioning Process Review,8.2.7,—,"5.16, 5.18","CC6.2, CC6.3","AC-2, IA-4, PS-4","6.1, 6.2","IAC-07, HRS-09",Article 21(2) (i),"A.3.8, A.3.9",—,—,—,—,—,—,—,—
Multi-Factor Authentication Coverage Review,"8.3.1, 8.3.2, 8.3.3, 8.3.4, 8.3.5, 8.3.6, 8.3.7, 8.3.8, 8.3.9, 8.3.11, 8.4.1, 8.4.2, 8.4.4, 8.5.1",—,"5.17, 8.5","CC6.1, CC6.6",IA-2,"6.3, 6.4, 6.5",IAC-06,Article 21(2) (j),A.3.23,—,—,—,—,—,—,—,—
Role-Based Access Control Review,"7.2.1, 7.2.2, 7.2.3, 7.2.5, 7.2.6, 7.3.1, 7.3.2",—,"5.18, 7.2.5","CC6.1, CC6.3","AC-3, AC-5","3.3, 6.1, 6.2, 6.6, 6.7, 6.8","IAC-08, IAC-20, IAC-21",Article 21(2) (i),—,—,—,—,—,—,—,—,ACM-1A
Segregation of Duties Verification,—,—,5.3,CC5.2,AC-5,—,"HRS-11, HRS-12",—,—,—,—,—,—,—,—,—,—
Default Account and Password Management Review,"8.2.1, 8.3.6",—,5.16,CC6.1,"IA-5, AC-2",4.7,"IAC-09, IAC-10",—,—,—,—,—,—,—,—,—,—
Hardware Asset Inventory Review,"12.3.3, 12.3.4",—,5.9,CC6.1,"CM-8, PM-5","1.1, 1.2, 1.3, 1.4, 1.5","AST-02, AST-03",Article 21(2) (i),—,—,—,—,—,—,—,—,—
Software Inventory and Authorisation Review,"6.3.2, 6.3.3",—,5.9,CC6.1,"CM-8, CM-10, CM-11","2.1, 2.2, 2.3, 2.4, 2.5, 2.6, 2.7","AST-02, CFG-04, CFG-05",—,—,—,—,—,—,—,—,—,—
Data Inventory and Flow Review,"3.1.1, 12.5.1",—,5.9,PI1.5,"CM-12, CM-13","3.2, 3.8","AST-04, DCH-02, DCH-24",—,"A.1.2.2, A.1.2.9, A.2.2.7",—,—,—,—,—,—,—,—
Internal Vulnerability Scan,"6.3.1, 6.3.2, 11.2.1, 11.3.1, 11.3.1.1, 11.3.1.2, 11.3.1.3",—,8.8,CC7.1,"RA-5, SI-2","7.1, 7.2, 7.5",VPM-06,Article 21(2) (e),—,—,—,—,—,—,—,—,—
External Vulnerability Scan,"11.2.2, 11.3.2, 11.3.2.1",—,8.8,CC7.1,RA-5,7.6,VPM-06,Article 21(2) (e),—,—,—,—,—,—,—,—,—
