"﻿""Chapter ID (Mandatory", for example 1, 2," Etc)""",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
1,Respondent Information,,1.1,"Who is responding to this questionnaire? Please provide your name, team, and role within that team.",,1,,,0,,,,1
2,Scope,"<i>This document applies to all employees, contractors, and third parties who access or use organizational assets, including hardware, software, systems, networks, and data, whether owned by the organization or approved for organizational use.</i>",2.1,Is this scope accurate and complete for your organization?,"This document applies to all employees, contractors, and third parties who access or use organizational assets, including hardware, software, systems, networks, and data, whether owned by the organization or approved for organizational use.",2,Yes|No|Somewhat,,0,,,||2.2,1
2,Scope,"<i>This document applies to all employees, contractors, and third parties who access or use organizational assets, including hardware, software, systems, networks, and data, whether owned by the organization or approved for organizational use.</i>",2.2,Please provide the correct or updated scope.,,1,,,0,,,,1
3,Responsibilities,"<i>- Users (employees and contractors) are responsible for using organizational assets in accordance with this policy and related standards.
- Department Managers are responsible for ensuring users within their areas understand and comply with acceptable use requirements.
- The Information Security function is responsible for defining acceptable use requirements and supporting enforcement where necessary, with the support of Department Managers.</i>",3.1,Is someone responsible for using organizational assets in accordance with this policy and related standards in your organization?,,2,Yes|No,,0,,,3.2|,1
3,Responsibilities,"<i>- Users (employees and contractors) are responsible for using organizational assets in accordance with this policy and related standards.
- Department Managers are responsible for ensuring users within their areas understand and comply with acceptable use requirements.
- The Information Security function is responsible for defining acceptable use requirements and supporting enforcement where necessary, with the support of Department Managers.</i>",3.2,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Users (employees and contractors) are responsible for using organizational assets in accordance with this policy and related standards.
- Department Managers are responsible for ensuring users within their areas understand and comply with acceptable use requirements.
- The Information Security function is responsible for defining acceptable use requirements and supporting enforcement where necessary, with the support of Department Managers.</i>",3.3,Is someone responsible for ensuring users within their areas understand and comply with acceptable use requirements in your organization?,,2,Yes|No,,0,,,3.4|,1
3,Responsibilities,"<i>- Users (employees and contractors) are responsible for using organizational assets in accordance with this policy and related standards.
- Department Managers are responsible for ensuring users within their areas understand and comply with acceptable use requirements.
- The Information Security function is responsible for defining acceptable use requirements and supporting enforcement where necessary, with the support of Department Managers.</i>",3.4,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Users (employees and contractors) are responsible for using organizational assets in accordance with this policy and related standards.
- Department Managers are responsible for ensuring users within their areas understand and comply with acceptable use requirements.
- The Information Security function is responsible for defining acceptable use requirements and supporting enforcement where necessary, with the support of Department Managers.</i>",3.5,"Is someone responsible for defining acceptable use requirements and supporting enforcement where necessary, with the support of Department Managers in your organization?",,2,Yes|No,,0,,,3.6|,1
3,Responsibilities,"<i>- Users (employees and contractors) are responsible for using organizational assets in accordance with this policy and related standards.
- Department Managers are responsible for ensuring users within their areas understand and comply with acceptable use requirements.
- The Information Security function is responsible for defining acceptable use requirements and supporting enforcement where necessary, with the support of Department Managers.</i>",3.6,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Users (employees and contractors) are responsible for using organizational assets in accordance with this policy and related standards.
- Department Managers are responsible for ensuring users within their areas understand and comply with acceptable use requirements.
- The Information Security function is responsible for defining acceptable use requirements and supporting enforcement where necessary, with the support of Department Managers.</i>",3.7,Are we missing any responsibility here that is performed in your company?,,1,,,0,,,,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.1,Does this policy statement apply to your company: Organizational assets must be used primarily for legitimate business purposes.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.2|4.2|4.2,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.2,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.3,"Does this policy statement apply to your company: Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.4|4.4|4.4,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.4,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.5,"Does this policy statement apply to your company: Users must comply with all security policies, standards, and procedures when using organizational assets.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.6|4.6|4.6,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.6,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.7,"Does this policy statement apply to your company: Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.8|4.8|4.8,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.8,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Organizational assets must be used primarily for legitimate business purposes.
- Limited personal use of organizational assets is permitted only if it does not interfere with business operations, security, or compliance requirements.
- Users must comply with all security policies, standards, and procedures when using organizational assets.
- Users must not engage in activities that could expose the organization to legal, financial, or reputational risk.
- Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.</i>",4.9,"Does this policy statement apply to your company: Users are responsible for protecting assets assigned to them from loss, theft, damage, or misuse.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.10|4.10|4.10,1
