"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
1,Respondent Information,,1.1,"Who is responding to this questionnaire? Please provide your name, team, and role within that team.",,1,,,0,,,,1
2,Scope,,2.1,Is this scope accurate and complete for your organization?,,2,Yes|No|Somewhat,,0,,,||2.2,1
2,Scope,,2.2,Please provide the correct or updated scope.,,1,,,0,,,,1
3,Responsibilities,,3.1,Are we missing any responsibility here that is performed in your company?,,1,,,0,,,,1
4,Policy Statements,,4.1,Are we missing any policy statement here that reflects something done in your company?,,1,,,0,,,,1
5,Standard - Monitoring and Measurement,"<i>- Information security performance must be monitored using defined metrics mapped to:
  - Controls
  - Risks
  - Policies
  - Key ISMS processes
- Monitoring activities must be repeatable and produce comparable results over time.
- Monitoring results must be documented and retained as evidence.
- Monitoring outcomes must be reviewed by the Information Security function, with the support of other department managers.

---</i>",5.1,Does this requirement reflect your company current practice: Information security performance must be monitored using defined metrics mapped to:,,2,Yes|No|Somewhat|Not applicable,,0,,,5.2 5.3|5.4|5.4|5.4,1
5,Standard - Monitoring and Measurement,"<i>- Information security performance must be monitored using defined metrics mapped to:
  - Controls
  - Risks
  - Policies
  - Key ISMS processes
- Monitoring activities must be repeatable and produce comparable results over time.
- Monitoring results must be documented and retained as evidence.
- Monitoring outcomes must be reviewed by the Information Security function, with the support of other department managers.

---</i>",5.2,"Which technologies, tools, methods, or evidence sources are used?",,5,Policy document|Procedure document|Assigned owner or role record|SIEM reports|Log exports|Monitoring alerts|Audit reports|Review meeting records|Screenshots|System exports|Other,,0,,,,1
5,Standard - Monitoring and Measurement,"<i>- Information security performance must be monitored using defined metrics mapped to:
  - Controls
  - Risks
  - Policies
  - Key ISMS processes
- Monitoring activities must be repeatable and produce comparable results over time.
- Monitoring results must be documented and retained as evidence.
- Monitoring outcomes must be reviewed by the Information Security function, with the support of other department managers.

---</i>",5.3,"What evidence can you provide to demonstrate this requirement is implemented? Examples may include screenshots, reports, logs, tickets, approvals, procedures, meeting records, or system exports.",,1,,,0,,,,1
5,Standard - Monitoring and Measurement,"<i>- Information security performance must be monitored using defined metrics mapped to:
  - Controls
  - Risks
  - Policies
  - Key ISMS processes
- Monitoring activities must be repeatable and produce comparable results over time.
- Monitoring results must be documented and retained as evidence.
- Monitoring outcomes must be reviewed by the Information Security function, with the support of other department managers.

---</i>",5.4,"Please explain why this requirement is not implemented, only partially implemented, or not applicable.",,1,,,0,,,,1
5,Standard - Monitoring and Measurement,"<i>- Information security performance must be monitored using defined metrics mapped to:
  - Controls
  - Risks
  - Policies
  - Key ISMS processes
- Monitoring activities must be repeatable and produce comparable results over time.
- Monitoring results must be documented and retained as evidence.
- Monitoring outcomes must be reviewed by the Information Security function, with the support of other department managers.

---</i>",5.5,Does this requirement reflect your company current practice: Controls,,2,Yes|No|Somewhat|Not applicable,,0,,,5.6 5.7|5.8|5.8|5.8,1
