Title,Description,Audit Methodology,Policy Procedure
User Account Inventory Review,"Review of all user, administrator, and service accounts to confirm they are authorised, accurately recorded, and assigned to active personnel.","Evidence required: exported account list from identity provider or directory service, showing account name, type, owner, and last login date. Analysis: cross-reference against HR active employee list; identify accounts with no login in over 45 days, accounts with no documented owner, and service accounts without a recorded business purpose. Conclusion: document findings, flag exceptions, confirm remediation actions. Conduct review at minimum quarterly.",Access_Management > Access Review
Privileged Access Rights Review,Periodic review of all privileged and administrative accounts to confirm that elevated access remains necessary and is not excessive.,"Evidence required: list of all accounts with privileged or administrative rights, including role justification and approver. Analysis: verify each privileged account has a documented business justification and was approved by an authorised manager; confirm no standard user accounts have accumulated privileged rights; confirm privileged accounts are not used for general day-to-day activities. Conclusion: document and remediate unjustified access. Conduct review at minimum every six months.",Access_Management > Access Review
Account Provisioning and Deprovisioning Process Review,Verification that access is granted following a documented approval process and revoked promptly upon termination or role change.,"Evidence required: sample of access provisioning tickets (last period), corresponding HR records confirming role and start date; sample of offboarding records and corresponding access revocation confirmations. Analysis: confirm each provisioned account has documented manager approval; confirm all terminated employees had access revoked on or before last working day; confirm role changes triggered access adjustments. Conclusion: document gaps and timelines. Conduct review quarterly.",Access_Management > Account Provisioning
Multi-Factor Authentication Coverage Review,"Verification that MFA is enforced on all externally exposed applications, remote access, and administrative interfaces.","Evidence required: list of externally accessible systems and administrative interfaces; MFA configuration screenshots or export from identity provider. Analysis: confirm MFA is enabled and enforced (not optional) for all external-facing systems, remote network access, and admin consoles; document any exceptions with compensating controls. Conclusion: document MFA coverage rate and any gaps. Conduct review at minimum annually.",Access_Management > Authentication
Role-Based Access Control Review,Review of role definitions and assigned permissions to confirm they reflect current business requirements and enforce least privilege.,"Evidence required: role matrix or RBAC configuration export showing roles, permissions, and assigned users; business justification documentation per role. Analysis: confirm each role has a documented purpose and owner; confirm no role grants more access than required for its business function; confirm users are assigned only roles appropriate to their job function. Conclusion: document roles requiring remediation. Conduct review annually or upon significant organisational change.",Access_Management > Access Review
Segregation of Duties Verification,Verification that conflicting duties are separated so no single individual can perform incompatible actions without detection.,"Evidence required: list of critical processes where SoD applies (e.g. financial approvals, access provisioning, code deployment); current role assignments for personnel involved in those processes. Analysis: confirm no individual holds roles that allow both initiation and approval of the same transaction or action; flag and document any exceptions with compensating controls. Conclusion: document SoD violations and remediation plans. Conduct review annually.",Access_Management > Access Review
Default Account and Password Management Review,Verification that default vendor accounts have been renamed or disabled and default credentials changed across all systems.,Evidence required: system hardening checklist or configuration scan output; list of known default accounts per system type. Analysis: confirm all default accounts are disabled or renamed; confirm no default credentials remain active; confirm this check is performed as part of system commissioning. Conclusion: document any systems with unremediated defaults. Conduct review at minimum annually or upon new system deployment.,Access_Management > Account Provisioning
Hardware Asset Inventory Review,"Periodic verification that the hardware asset inventory is complete, accurate, and includes all devices connected to the network.",Evidence required: current asset inventory export; output from active discovery tool or DHCP logs; network scan results. Analysis: reconcile discovered devices against inventory; identify unauthorised or unrecorded devices; confirm each asset has an assigned owner and classification. Conclusion: document discrepancies and initiate investigation for unknown devices. Conduct review at minimum quarterly.,Asset_Management > Asset Inventory Review
Software Inventory and Authorisation Review,Verification that only authorised and currently supported software is installed across enterprise assets.,Evidence required: software inventory report from endpoint management tool or manual collection; list of authorised software titles. Analysis: identify software not on the authorised list; confirm all authorised software is currently supported by the vendor (no end-of-life); document exceptions where unsupported software must remain with a risk acceptance record. Conclusion: initiate removal of unauthorised software; document exceptions. Conduct review at minimum monthly.,Asset_Management > Asset Inventory Review
Data Inventory and Flow Review,"Review of the data inventory and documented data flows to confirm sensitive data is identified, classified, and flows are current.",Evidence required: data inventory or data register; data flow diagrams; output of any DLP tool showing sensitive data locations. Analysis: confirm the data inventory covers all known sensitive data repositories; confirm data flows reflect actual data movement between systems and third parties; identify any undocumented flows or new data types. Conclusion: update inventory and flows; document gaps. Conduct review annually or upon significant system or process change.,Information_Classification > Classification at Creation
Internal Vulnerability Scan,Automated scanning of internal systems to identify known vulnerabilities and misconfigurations.,"Evidence required: vulnerability scan report from authenticated internal scan, including scan date, scope, tool, and findings by severity. Analysis: confirm scan covered all in-scope internal systems; verify all critical and high findings have remediation owners and target dates; confirm prior critical findings have been resolved or have documented risk acceptances. Conclusion: record pass/fail per criticality threshold. Conduct at minimum quarterly.",Vulnerability_Management > Vulnerability Scan
External Vulnerability Scan,Automated scanning of externally exposed systems and services to identify vulnerabilities accessible from the internet.,"Evidence required: external vulnerability scan report including scan date, scope, and findings by severity. Analysis: confirm scan covered all externally reachable IP addresses and services; verify all critical and high findings have remediation owners and deadlines; confirm prior critical findings are resolved. Conclusion: record pass/fail per criticality threshold. Conduct at minimum monthly.",Vulnerability_Management > Vulnerability Scan
Patch Deployment Review,Verification that operating system and application patches are being applied within required timeframes across all in-scope systems.,"Evidence required: patch compliance report from endpoint management or patch management tool, showing patch status by system and age of outstanding patches. Analysis: confirm critical patches are deployed within defined SLA (typically 30 days); confirm no systems have unpatched critical vulnerabilities beyond SLA without a documented exception; confirm patch deployment follows the change management process. Conclusion: document non-compliant systems and escalation actions. Conduct review monthly.",Vulnerability_Management > Patch Deployment
Penetration Test Execution and Finding Remediation,"Commissioning and tracking of periodic penetration tests, and verification that findings are remediated within defined timeframes.","Evidence required: penetration test report (current period) including scope, methodology, tester credentials, and findings; remediation tracker showing status of all findings from current and prior test. Analysis: confirm test was conducted by a qualified independent party; confirm scope covered both network and application layers; confirm all critical and high findings have remediation plans with owners and dates; confirm prior critical findings are resolved before the next test. Conclusion: document outstanding findings and escalate overdue items. Conduct at minimum annually.",Vulnerability_Management > Penetration Test Management
Vulnerability Remediation Tracking,Ongoing tracking of open vulnerabilities to ensure remediation progresses within risk-based timeframes.,"Evidence required: vulnerability remediation tracker or ticketing system export showing open items, severity, assigned owner, and age. Analysis: confirm all critical vulnerabilities have remediation in progress or a documented risk acceptance; confirm remediation SLAs are being met; identify and escalate overdue items. Conclusion: produce remediation compliance rate; escalate critical aged items. Conduct review monthly.",Vulnerability_Management > Patch Deployment
Log Collection and Configuration Review,"Verification that logging is enabled, correctly configured, and centralised across all in-scope systems.","Evidence required: logging configuration export or screenshot from SIEM/log management platform showing sources, event types, and time synchronisation status; list of in-scope systems. Analysis: confirm all in-scope systems are forwarding logs to the centralised platform; confirm event types cover authentication, privilege use, configuration change, and data access; confirm time sync is active on all sources. Conclusion: document unconfigured or missing sources. Conduct review quarterly.",Logging_Monitoring > Log Configuration
Log Review and Anomaly Investigation,Periodic review of security event logs and SIEM alerts to detect anomalous activity and potential incidents.,"Evidence required: log review records or SIEM alert disposition log for the review period, showing alerts reviewed, analyst actions, and outcomes. Analysis: confirm all critical and high alerts were reviewed and dispositioned within SLA; confirm at least weekly manual review was performed; confirm anomalous events were escalated as incidents where appropriate. Conclusion: document unreviewed alerts and missed SLAs. Conduct review weekly at minimum; critical alerts reviewed within defined SLA (typically 24 hours).",Logging_Monitoring > Log Review
