"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
1,Scope and Ownership,,1.1,Is there a team or individual responsible for operating systems?,"This should include server, workstation, virtual, cloud-based, and third-party hosted operating systems.",2,Yes|No,,0,,,1.2|,0
1,Scope and Ownership,,1.2,Provide the names of the team members or individuals responsible for operating system security.,"Include system owners, IT administrators, outsourced administrators, and security responsibilities where applicable.",1,,,0,,,,0
1,Scope and Ownership,,1.3,Which operating system types are in scope for this assessment? Select one or more than one.,"Select every operating system type used to support company systems, services, infrastructure, or end-user devices.",5,Windows Server|Linux Server|Unix|Windows Workstations|macOS|Mobile operating systems|Cloud images|Container host operating systems|Third-party hosted systems|Other,,0,,,,0
,,,,,,,,,,,,,
2,Operating System Inventory,,2.1,Do you maintain an inventory of installed operating systems used by the organization?,"The inventory should identify operating system name, version, owner, environment, business purpose, and support status.",2,Yes|No|Inconsistent,,0,,,2.2 2.3||2.2 2.3,0
2,Operating System Inventory,,2.2,Which tool or record is used to maintain the operating system inventory?,"Common examples include a CMDB, asset register, endpoint management platform, vulnerability scanner, cloud inventory, or server inventory.",1,,,0,,,,0
2,Operating System Inventory,,2.3,Control - What evidence can you share with auditors to prove operating systems are inventoried?,"Typical evidence includes CMDB exports, vulnerability scanner exports, cloud inventory reports, MDM reports, server inventory reports, or asset ownership records.",1,,,0,,,,0
,,,,,,,,,,,,,
3,Approved and Supported Operating Systems,,3.1,Do you maintain a list of approved operating systems and versions?,"This should define which operating systems may be deployed for servers, workstations, cloud workloads, and other infrastructure.",2,Yes|No|Inconsistent,,0,,,3.2 3.3 3.4||3.2 3.3 3.4,0
3,Approved and Supported Operating Systems,,3.2,Are unsupported or end-of-life operating systems prohibited or formally approved as exceptions?,"Unsupported operating systems should not be used unless there is a documented business need, risk acceptance, and compensating controls.",2,Yes|No|Inconsistent,,0,,,,0
3,Approved and Supported Operating Systems,,3.3,How do you track operating system support status and lifecycle dates?,"Describe how end-of-support dates are identified, reviewed, and acted upon before systems become unsupported.",1,,,0,,,,0
3,Approved and Supported Operating Systems,,3.4,Control - What evidence can you share with auditors to prove only approved and supported operating systems are used?,"Typical evidence includes approved OS standards, lifecycle reports, EOL exception records, inventory exports, or vulnerability management reports.",1,,,0,,,,0
,,,,,,,,,,,,,
