"Chapter ID (Mandatory, for example 1, 2, Etc)",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
1,Respondent Information,,1.1,"Who is responding to this questionnaire? Please provide your name, team, and role within that team.",,1,,,0,,,,1
2,Scope,"<i>This document applies to all applications used, hosted, developed, or managed by the organization, including on-premise, cloud-based, and third-party (SaaS) applications.</i>",2.1,Is this scope accurate and complete for your organization?,"This document applies to all applications used, hosted, developed, or managed by the organization, including on-premise, cloud-based, and third-party (SaaS) applications.",2,Yes|No|Somewhat,,0,,,||2.2,1
2,Scope,"<i>This document applies to all applications used, hosted, developed, or managed by the organization, including on-premise, cloud-based, and third-party (SaaS) applications.</i>",2.2,Please provide the correct or updated scope.,,1,,,0,,,,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.1,Is someone responsible for System Owners are responsible for ensuring applications comply with these standards.?,,2,Yes|No,,0,,,3.2|,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.2,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.3,Is someone responsible for Department Managers are responsible for approving business use of applications.?,,2,Yes|No,,0,,,3.4|,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.4,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.5,"Is someone responsible for The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.?",,2,Yes|No,,0,,,3.6|,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.6,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.7,Is someone responsible for IT / Application Administrators are responsible for implementing and maintaining technical controls.?,,2,Yes|No,,0,,,3.8|,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.8,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- System Owners are responsible for ensuring applications comply with these standards.
- Department Managers are responsible for approving business use of applications.
- The Information Security function is responsible for defining application security requirements and supporting their implementation, with the assistance of Department Managers.
- IT / Application Administrators are responsible for implementing and maintaining technical controls.</i>",3.9,Are we missing any responsibility here that is performed in your company?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.1,"Does this policy statement apply to your company: Applications must be approved, owned, and managed in a controlled manner.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.2|4.2|4.2,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.2,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.3,"Does this policy statement apply to your company: Applications must comply with licensing, security, and operational requirements.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.4|4.4|4.4,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.4,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.5,Does this policy statement apply to your company: Application access must be managed in accordance with the Access Management Policy.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.6|4.6|4.6,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.6,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.7,Does this policy statement apply to your company: Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.8|4.8|4.8,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.8,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.9,Does this policy statement apply to your company: Application logging and monitoring must follow the Logging & Monitoring Policy.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.10|4.10|4.10,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.10,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.11,Does this policy statement apply to your company: Applications must be backed up to support system recovery.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.12|4.12|4.12,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.12,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.13,Does this policy statement apply to your company: Applications must be formally decommissioned when no longer required.,,2,Yes|No|Somewhat|Not applicable,,0,,,|4.14|4.14|4.14,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.14,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.15,"Does this policy statement apply to your company: Application management practices must support legal, regulatory, and contractual obligations.",,2,Yes|No|Somewhat|Not applicable,,0,,,|4.16|4.16|4.16,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.16,How would you describe this policy statement to better reflect the reality?,,1,,,0,,,,1
4,Policy Statements,"<i>- Applications must be approved, owned, and managed in a controlled manner.
- Applications must comply with licensing, security, and operational requirements.
- Application access must be managed in accordance with the Access Management Policy.
- Application patching and vulnerability handling must follow the Patching & Vulnerability Management Policy.
- Application logging and monitoring must follow the Logging & Monitoring Policy.
- Applications must be backed up to support system recovery.
- Applications must be formally decommissioned when no longer required.
- Application management practices must support legal, regulatory, and contractual obligations.</i>",4.17,Are we missing any policy statement here that reflects something done in your company?,,1,,,0,,,,1
5,Standard - Licensing,"<i>- Applications must be properly licensed in accordance with vendor and contractual requirements.
- Use of unlicensed or unauthorized software is not permitted.
- License compliance must be reviewed periodically where applicable.</i>",5.1,Does this requirement reflect your company current practice: Applications must be properly licensed in accordance with vendor and contractual requirements.,,2,Yes|No|Somewhat|Not applicable,,0,,,5.2 5.3|5.4|5.4|5.4,1
