Control Title,Policy,Procedure Section
User Account Inventory Review,Access Management,Access Review
Privileged Access Rights Review,Access Management,Access Review
Account Provisioning and Deprovisioning Process Review,Access Management,Account Provisioning
Multi-Factor Authentication Coverage Review,Access Management,Authentication
Role-Based Access Control Review,Access Management,Access Review
Segregation of Duties Verification,Access Management,Access Review
Default Account and Password Management Review,Access Management,Account Provisioning
Hardware Asset Inventory Review,Asset Management,Asset Inventory Review
Software Inventory and Authorisation Review,Asset Management,Asset Inventory Review
Data Inventory and Flow Review,Information Classification,Classification at Creation
Internal Vulnerability Scan,Vulnerability Management,Vulnerability Scan
External Vulnerability Scan,Vulnerability Management,Vulnerability Scan
Patch Deployment Review,Vulnerability Management,Patch Deployment
Penetration Test Execution and Finding Remediation,Vulnerability Management,Penetration Test Management
Vulnerability Remediation Tracking,Vulnerability Management,Patch Deployment
Log Collection and Configuration Review,Logging Monitoring,Log Configuration
Log Review and Anomaly Investigation,Logging Monitoring,Log Review
Log Retention Compliance Review,Logging Monitoring,Log Configuration
Service Provider Log Collection Review,Logging Monitoring,Log Configuration
Incident Response Plan Review and Test,Incident Management,Incident Reporting
Post-Incident Review Execution,Incident Management,Post-Incident Review
Security Incident Reporting Channel Review,Incident Management,Incident Reporting
Change Request Approval and Documentation Review,Change Management,Standard Change
Security Awareness Training Completion Review,Human Resources Security,Security Training Delivery and Tracking
Pre-Employment Background Screening Review,Human Resources Security,Onboarding
Offboarding Access Revocation Review,Human Resources Security,Offboarding
Cryptographic Key and Certificate Lifecycle Review,Cryptography,Certificate Management
Firewall Ruleset Review,Network Security,Firewall Rule Review
Network Segmentation Verification,Network Security,Network Change
Remote Access Security Review,Network Security,Remote Access
Network Architecture and Diagram Review,Network Security,Network Change
Physical Access Rights Review,Physical Security,Physical Access Review
Clear Desk and Clear Screen Compliance Check,Physical Security,Physical Access Review
Media Disposal Verification,Physical Security,Media Disposal
Supplier Security Assessment Review,Supplier Management,Supplier Review
Supplier Contract Security Requirements Review,Supplier Management,Supplier Onboarding
Supplier Offboarding and Data Return Verification,Supplier Management,Supplier Offboarding
Backup Execution and Restore Test,Business Continuity,Backup Execution and Verification
BCP and DR Plan Test,Business Continuity,BCP and DR Plan Review
Data Classification and Labelling Compliance Review,Information Classification,Classification at Creation
Data Retention and Disposal Compliance Review,Information Classification,Secure Disposal
Threat Intelligence Review,Risk Management,Risk Assessment
Legal and Regulatory Compliance Review,Risk Management,Risk Register Review
Independent Information Security Review,Risk Management,Risk Register Review
Internal Information Security Compliance Review,Risk Management,Risk Register Review
Security Policy Violation Management Review,Human Resources Security,Security Training Delivery and Tracking
Endpoint Configuration Baseline Review,Endpoint Security,Endpoint Configuration Review
Malware Protection Review,Endpoint Security,Malware Protection Review
Web and Email Filtering Review,Endpoint Security,Web and Email Filtering Review
Software Installation Control Review,Endpoint Security,Software Installation Control
Endpoint Encryption Compliance Review,Endpoint Security,Endpoint Configuration Review
Data Loss Prevention Review,Endpoint Security,Web and Email Filtering Review
Secure Development Lifecycle Compliance Review,Secure Development,Secure Development Lifecycle Review
Static and Dynamic Application Security Testing Review,Secure Development,Security Testing in Development
Secure Coding Standards Compliance Review,Secure Development,Secure Coding Review
Application Security Requirements Review,Secure Development,Application Security Requirements Review
Third-Party Software Component Review,Secure Development,Security Testing in Development
"Development, Test, and Production Environment Separation Review",Secure Development,Secure Development Lifecycle Review
Internal Audit Execution,Risk Management,Independent Information Security Review
Management Review Execution,Risk Management,Risk Register Review
Nonconformity and Corrective Action Tracking,Risk Management,Risk Register Review
Cardholder Data Environment Scoping Review,Information Classification,Classification at Creation
PCI DSS Compliance Self-Assessment or Audit,Risk Management,Legal and Regulatory Compliance Review
Cardholder Data Discovery Scan,Information Classification,Classification at Creation
SOC 2 Control Effectiveness Monitoring,Risk Management,Internal Information Security Compliance Review
Availability and Processing Integrity Monitoring,Business Continuity,BCP and DR Plan Review
System Security Plan Review,Risk Management,Risk Register Review
Plan of Action and Milestones (POA&M) Review,Risk Management,Risk Register Review
Security Training Records Review,Human Resources Security,Security Training Delivery and Tracking
OH&S Legal Compliance Evaluation,Occupational Health Safety,Hazard Identification and Risk Assessment
OH&S Performance Monitoring Review,Occupational Health Safety,Hazard Identification and Risk Assessment
AI System Impact Assessment Review,AI Governance,AI Impact Assessment
AI System Performance and Monitoring Review,AI Governance,AI System Monitoring
Anti-Bribery Risk Assessment Review,Anti Bribery,Bribery Risk Assessment
Gifts and Hospitality Register Review,Anti Bribery,Gifts and Hospitality Approval
Anti-Bribery Due Diligence Review,Anti Bribery,Business Associate Due Diligence
Customer Satisfaction Monitoring,Quality Management,Customer Requirements Review
Quality Nonconformity Review,Quality Management,Nonconformity Management
PII Cross-Border Transfer Review,Privacy,PII Processing Assessment
Data Subject Rights Request Fulfilment Review,Privacy,Individual Rights Request Handling
Cyber Governance Programme Review,Risk Management,Independent Information Security Review
NIS2 Incident Notification Review,Incident Management,Post-Incident Review
