"﻿""Chapter ID (Mandatory", for example 1, 2," Etc)""",Chapter Title (Mandatory),Chapter Description (Optional),"Question ID (Mandatory and Unique, for example: 1.1, 1.2, Etc)",Question Title (Mandatory),Question Description (Optional),"Answer Type (Mandatory, one of the following options: 1 for Open Answer, 2 for Dropdown - Single Select, 3 for Dropdown - Single Select - Open answer, 4 for Date, 5 for Dropdown - Multiple Select, 6 for Dropdown - Multiple Select - Open answer)","Dropdown Options (Mandatory if column G is Dropdown. List options for the dropdown separated by a pipe character, for example: Yes|No|Undefined)","DropDown Warnings (Optional, for every option on column H you can define a message, for example: Great|Oh|Think twice)","Dropdown Scoring (Mandatory, set this to 1 if you want to enable scoring for this question. Otherwise set to 0)","Dropdown Option Score (Mandatory if J is set to 1, set the score of the question as an integer positive number, for example 10)","Dropdown Option Score Multiplier (Mandatory if J is set to 1. For every option of the dropdown in column H define an integer positive number that will be multiplied by the value on column K, for example: 1|2|10)","Dropdown Option Show another Question (Optional and only possible if column G is dropdown.For every option in column H you can define one or more question IDs from column D to be shown when the option is selected. For example: 1.2 1.6||6.7 would display questions 1.2 and 1.6 if the first option is selected, none if the second is selected and 6.7 if the third option is selected)","Question Comments & Attachments (Mandatory, select 0 if you do not want to show this option or 1 if you want to let users provide comments and attachments for each question)"
1,Respondent Information,,1.1,"Who is responding to this questionnaire? Please provide your name, team, and role within that team.",,1,,,0,,,,1
2,Scope,"<i>This policy applies to:
- All third parties, suppliers, contractors, service providers, and partners.
- All situations where third parties create, access, process, store, transmit, or manage organizational information or systems.
- All forms of information, including electronic, physical, and verbal.
- All stages of supplier engagement, including selection, contracting, onboarding, operation, change, and termination.</i>",2.1,Is this scope accurate and complete for your organization?,"This policy applies to:
- All third parties, suppliers, contractors, service providers, and partners.
- All situations where third parties create, access, process, store, transmit, or manage organizational information or systems.
- All forms of information, including electronic, physical, and verbal.
- All stages of supplier engagement, including selection, contracting, onboarding, operation, change, and termination.",2,Yes|No|Somewhat,,0,,,||2.2,1
2,Scope,"<i>This policy applies to:
- All third parties, suppliers, contractors, service providers, and partners.
- All situations where third parties create, access, process, store, transmit, or manage organizational information or systems.
- All forms of information, including electronic, physical, and verbal.
- All stages of supplier engagement, including selection, contracting, onboarding, operation, change, and termination.</i>",2.2,Please provide the correct or updated scope.,,1,,,0,,,,1
3,Responsibilities,"<i>- Management: Ensures supplier relationships are approved, resourced, governed, and that risk acceptance and enforcement actions are authorized where required.
- The Information Security function: Defines supplier security requirements, reviews supplier risk and assurance evidence, monitors compliance, and manages supplier-related security incidents, with the support of other department managers.
- Business / Contract Owners: Own supplier relationships, ensure contracts include required information security clauses, and monitor supplier performance and compliance.
- Procurement / Legal (where applicable): Ensures supplier agreements reflect legal, regulatory, contractual, and information security requirements.
- Suppliers and Third Parties: Comply with all contractual and information security requirements and implement security controls within their scope of service.
---</i>",3.1,"Is someone responsible for ensuring supplier relationships are approved, resourced, governed, and that risk acceptance and enforcement actions are authorized where required in your organization?",,2,Yes|No,,0,,,3.2|,1
3,Responsibilities,"<i>- Management: Ensures supplier relationships are approved, resourced, governed, and that risk acceptance and enforcement actions are authorized where required.
- The Information Security function: Defines supplier security requirements, reviews supplier risk and assurance evidence, monitors compliance, and manages supplier-related security incidents, with the support of other department managers.
- Business / Contract Owners: Own supplier relationships, ensure contracts include required information security clauses, and monitor supplier performance and compliance.
- Procurement / Legal (where applicable): Ensures supplier agreements reflect legal, regulatory, contractual, and information security requirements.
- Suppliers and Third Parties: Comply with all contractual and information security requirements and implement security controls within their scope of service.
---</i>",3.2,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Management: Ensures supplier relationships are approved, resourced, governed, and that risk acceptance and enforcement actions are authorized where required.
- The Information Security function: Defines supplier security requirements, reviews supplier risk and assurance evidence, monitors compliance, and manages supplier-related security incidents, with the support of other department managers.
- Business / Contract Owners: Own supplier relationships, ensure contracts include required information security clauses, and monitor supplier performance and compliance.
- Procurement / Legal (where applicable): Ensures supplier agreements reflect legal, regulatory, contractual, and information security requirements.
- Suppliers and Third Parties: Comply with all contractual and information security requirements and implement security controls within their scope of service.
---</i>",3.3,"Is someone responsible for defining supplier security requirements, reviewing supplier risk evidence, monitoring compliance, and managing supplier-related security incidents, with support from department managers in your organization?",,2,Yes|No,,0,,,3.4|,1
3,Responsibilities,"<i>- Management: Ensures supplier relationships are approved, resourced, governed, and that risk acceptance and enforcement actions are authorized where required.
- The Information Security function: Defines supplier security requirements, reviews supplier risk and assurance evidence, monitors compliance, and manages supplier-related security incidents, with the support of other department managers.
- Business / Contract Owners: Own supplier relationships, ensure contracts include required information security clauses, and monitor supplier performance and compliance.
- Procurement / Legal (where applicable): Ensures supplier agreements reflect legal, regulatory, contractual, and information security requirements.
- Suppliers and Third Parties: Comply with all contractual and information security requirements and implement security controls within their scope of service.
---</i>",3.4,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Management: Ensures supplier relationships are approved, resourced, governed, and that risk acceptance and enforcement actions are authorized where required.
- The Information Security function: Defines supplier security requirements, reviews supplier risk and assurance evidence, monitors compliance, and manages supplier-related security incidents, with the support of other department managers.
- Business / Contract Owners: Own supplier relationships, ensure contracts include required information security clauses, and monitor supplier performance and compliance.
- Procurement / Legal (where applicable): Ensures supplier agreements reflect legal, regulatory, contractual, and information security requirements.
- Suppliers and Third Parties: Comply with all contractual and information security requirements and implement security controls within their scope of service.
---</i>",3.5,"Is someone responsible for owning supplier relationships, ensuring contracts include required information security clauses, and monitoring supplier performance and compliance in your organization?",,2,Yes|No,,0,,,3.6|,1
3,Responsibilities,"<i>- Management: Ensures supplier relationships are approved, resourced, governed, and that risk acceptance and enforcement actions are authorized where required.
- The Information Security function: Defines supplier security requirements, reviews supplier risk and assurance evidence, monitors compliance, and manages supplier-related security incidents, with the support of other department managers.
- Business / Contract Owners: Own supplier relationships, ensure contracts include required information security clauses, and monitor supplier performance and compliance.
- Procurement / Legal (where applicable): Ensures supplier agreements reflect legal, regulatory, contractual, and information security requirements.
- Suppliers and Third Parties: Comply with all contractual and information security requirements and implement security controls within their scope of service.
---</i>",3.6,"Who performs this responsibility? Please provide the role, team, or job title.",,1,,,0,,,,1
3,Responsibilities,"<i>- Management: Ensures supplier relationships are approved, resourced, governed, and that risk acceptance and enforcement actions are authorized where required.
- The Information Security function: Defines supplier security requirements, reviews supplier risk and assurance evidence, monitors compliance, and manages supplier-related security incidents, with the support of other department managers.
- Business / Contract Owners: Own supplier relationships, ensure contracts include required information security clauses, and monitor supplier performance and compliance.
- Procurement / Legal (where applicable): Ensures supplier agreements reflect legal, regulatory, contractual, and information security requirements.
- Suppliers and Third Parties: Comply with all contractual and information security requirements and implement security controls within their scope of service.
---</i>",3.7,"Is someone responsible for ensuring supplier agreements reflect legal, regulatory, contractual, and information security requirements in your organization?",,2,Yes|No,,0,,,3.8|,1
